Random number seed:  2997058579942705932
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
  2000.0 	    50.0 	0.386 	0.377  	4.997
  3500.0 	    50.0 	0.366 	0.240  	5.025
  5000.0 	    50.0 	0.365 	0.171  	5.064
  8000.0 	    50.0 	0.340 	0.108  	5.123
 10000.0 	    50.0 	0.341 	0.087  	5.193
 15000.0 	    50.0 	0.332 	0.059  	5.296
 20000.0 	    50.0 	0.326 	0.046  	5.436
 29975.0 	    50.0 	0.332 	0.032  	5.644
     1.0 	    60.0 	0.000 	0.027  	5.644
     5.0 	    60.0 	0.000 	0.068  	5.645
    10.0 	    60.0 	0.000 	0.099  	5.645
    20.0 	    60.0 	0.000 	0.189  	5.645
    35.0 	    60.0 	0.000 	0.348  	5.646
    50.0 	    60.0 	0.000 	0.477  	5.647
    75.0 	    60.0 	0.067 	0.611  	5.648
   100.0 	    60.0 	0.137 	0.717  	5.649
   125.0 	    60.0 	0.189 	0.816  	5.651
   150.0 	    60.0 	0.218 	0.893  	5.652
   175.0 	    60.0 	0.250 	0.958  	5.654
   200.0 	    60.0 	0.282 	0.974  	5.656
   250.0 	    60.0 	0.305 	0.987  	5.658
   300.0 	    60.0 	0.341 	0.980  	5.661
   350.0 	    60.0 	0.355 	0.992  	5.665
   400.0 	    60.0 	0.366 	0.985  	5.668
   500.0 	    60.0 	0.398 	0.909  	5.673
   800.0 	    60.0 	0.444 	0.792  	5.679
  1000.0 	    60.0 	0.440 	0.727  	5.687
  1500.0 	    60.0 	0.454 	0.551  	5.699
  2000.0 	    60.0 	0.455 	0.458  	5.714
  3500.0 	    60.0 	0.448 	0.304  	5.739
  5000.0 	    60.0 	0.431 	0.218  	5.774
  8000.0 	    60.0 	0.422 	0.136  	5.828
 10000.0 	    60.0 	0.425 	0.117  	5.896
 15000.0 	    60.0 	0.424 	0.084  	5.998
 20000.0 	    60.0 	0.419 	0.070  	6.122
 29975.0 	    60.0 	0.409 	0.047  	6.311
     1.0 	    70.0 	0.000 	0.025  	6.311
     5.0 	    70.0 	0.000 	0.065  	6.311
    10.0 	    70.0 	-0.000 	0.108  	6.311
    20.0 	    70.0 	0.000 	0.204  	6.312
    35.0 	    70.0 	0.000 	0.342  	6.312
    50.0 	    70.0 	0.000 	0.491  	6.313
    75.0 	    70.0 	0.076 	0.648  	6.314
   100.0 	    70.0 	0.152 	0.751  	6.315
   125.0 	    70.0 	0.197 	0.865  	6.317
   150.0 	    70.0 	0.241 	0.930  	6.318
   175.0 	    70.0 	0.275 	0.986  	6.320
   200.0 	    70.0 	0.296 	1.016  	6.322
   250.0 	    70.0 	0.348 	1.051  	6.324
   300.0 	    70.0 	0.382 	1.075  	6.327
   350.0 	    70.0 	0.408 	1.087  	6.330
   400.0 	    70.0 	0.434 	1.063  	6.333
   500.0 	    70.0 	0.465 	1.029  	6.337
   800.0 	    70.0 	0.516 	0.928  	6.342
  1000.0 	    70.0 	0.526 	0.848  	6.349
  1500.0 	    70.0 	0.554 	0.687  	6.359
  2000.0 	    70.0 	0.573 	0.606  	6.372
  3500.0 	    70.0 	0.555 	0.397  	6.393
  5000.0 	    70.0 	0.541 	0.309  	6.424
