Random number seed:  -8704197715963060969
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
  3500.0 	    40.0 	0.299 	0.139  	4.173
  5000.0 	    40.0 	0.294 	0.101  	4.211
  8000.0 	    40.0 	0.286 	0.063  	4.270
 10000.0 	    40.0 	0.287 	0.057  	4.345
 15000.0 	    40.0 	0.270 	0.040  	4.455
 20000.0 	    40.0 	0.269 	0.028  	4.600
 29975.0 	    40.0 	0.263 	0.018  	4.814
     1.0 	    50.0 	0.538 	0.005  	4.815
     5.0 	    50.0 	0.252 	0.033  	4.815
    10.0 	    50.0 	0.149 	0.067  	4.815
    20.0 	    50.0 	0.074 	0.130  	4.815
    35.0 	    50.0 	0.038 	0.236  	4.816
    50.0 	    50.0 	0.023 	0.347  	4.817
    75.0 	    50.0 	0.075 	0.454  	4.818
   100.0 	    50.0 	0.127 	0.538  	4.819
   125.0 	    50.0 	0.178 	0.594  	4.820
   150.0 	    50.0 	0.200 	0.620  	4.822
   175.0 	    50.0 	0.225 	0.660  	4.824
   200.0 	    50.0 	0.237 	0.674  	4.826
   250.0 	    50.0 	0.278 	0.676  	4.828
   300.0 	    50.0 	0.298 	0.681  	4.831
   350.0 	    50.0 	0.311 	0.657  	4.835
   400.0 	    50.0 	0.323 	0.637  	4.838
   500.0 	    50.0 	0.338 	0.596  	4.843
   800.0 	    50.0 	0.358 	0.495  	4.849
  1000.0 	    50.0 	0.377 	0.442  	4.858
  1500.0 	    50.0 	0.377 	0.335  	4.869
  2000.0 	    50.0 	0.375 	0.254  	4.885
  3500.0 	    50.0 	0.358 	0.167  	4.911
  5000.0 	    50.0 	0.354 	0.120  	4.947
  8000.0 	    50.0 	0.340 	0.077  	5.004
 10000.0 	    50.0 	0.341 	0.067  	5.075
 15000.0 	    50.0 	0.330 	0.049  	5.178
 20000.0 	    50.0 	0.334 	0.034  	5.314
 29975.0 	    50.0 	0.322 	0.027  	5.519
     1.0 	    60.0 	0.625 	0.004  	5.519
     5.0 	    60.0 	0.346 	0.029  	5.519
    10.0 	    60.0 	0.226 	0.057  	5.519
    20.0 	    60.0 	0.124 	0.123  	5.519
    35.0 	    60.0 	0.069 	0.239  	5.520
    50.0 	    60.0 	0.047 	0.355  	5.521
    75.0 	    60.0 	0.095 	0.453  	5.522
   100.0 	    60.0 	0.146 	0.555  	5.523
   125.0 	    60.0 	0.193 	0.618  	5.525
   150.0 	    60.0 	0.218 	0.679  	5.526
   175.0 	    60.0 	0.247 	0.700  	5.528
   200.0 	    60.0 	0.266 	0.737  	5.530
   250.0 	    60.0 	0.298 	0.745  	5.533
   300.0 	    60.0 	0.335 	0.741  	5.536
   350.0 	    60.0 	0.351 	0.735  	5.539
   400.0 	    60.0 	0.366 	0.730  	5.543
   500.0 	    60.0 	0.396 	0.674  	5.547
   800.0 	    60.0 	0.420 	0.588  	5.554
  1000.0 	    60.0 	0.441 	0.514  	5.563
  1500.0 	    60.0 	0.446 	0.399  	5.575
  2000.0 	    60.0 	0.454 	0.330  	5.591
  3500.0 	    60.0 	0.443 	0.227  	5.630
  5000.0 	    60.0 	0.433 	0.147  	5.665
  8000.0 	    60.0 	0.424 	0.094  	5.716
 10000.0 	    60.0 	0.424 	0.087  	5.779
 15000.0 	    60.0 	0.411 	0.060  	5.874
 20000.0 	    60.0 	0.419 	0.046  	5.999
 29975.0 	    60.0 	0.420 	0.030  	6.180
     1.0 	    70.0 	0.727 	0.003  	6.180
     5.0 	    70.0 	0.494 	0.025  	6.180
    10.0 	    70.0 	0.357 	0.051  	6.180
    20.0 	    70.0 	0.248 	0.114  	6.181
    35.0 	    70.0 	0.155 	0.231  	6.181
    50.0 	    70.0 	0.110 	0.347  	6.182
    75.0 	    70.0 	0.138 	0.456  	6.183
   100.0 	    70.0 	0.187 	0.553  	6.184
   125.0 	    70.0 	0.224 	0.646  	6.185
   150.0 	    70.0 	0.260 	0.707  	6.187
   175.0 	    70.0 	0.283 	0.741  	6.189
   200.0 	    70.0 	0.309 	0.774  	6.191
   250.0 	    70.0 	0.350 	0.783  	6.193
   300.0 	    70.0 	0.390 	0.795  	6.196
   350.0 	    70.0 	0.412 	0.809  	6.199
   400.0 	    70.0 	0.427 	0.786  	6.202
   500.0 	    70.0 	0.444 	0.763  	6.206
   800.0 	    70.0 	0.509 	0.681  	6.212
  1000.0 	    70.0 	0.529 	0.609  	6.219
  1500.0 	    70.0 	0.553 	0.516  	6.229
  2000.0 	    70.0 	0.564 	0.421  	6.242
  3500.0 	    70.0 	0.555 	0.283  	6.263
  5000.0 	    70.0 	0.546 	0.220  	6.292
  8000.0 	    70.0 	0.531 	0.142  	6.338
 10000.0 	    70.0 	0.540 	0.126  	6.394
 15000.0 	    70.0 	0.527 	0.086  	6.479
 20000.0 	    70.0 	0.525 	0.071  	6.589
 29975.0 	    70.0 	0.521 	0.045  	6.752
     1.0 	    80.0 	0.846 	0.003  	6.752
     5.0 	    80.0 	0.694 	0.013  	6.752
    10.0 	    80.0 	0.592 	0.032  	6.752
    20.0 	    80.0 	0.470 	0.082  	6.752
    35.0 	    80.0 	0.372 	0.173  	6.753
    50.0 	    80.0 	0.310 	0.279  	6.753
    75.0 	    80.0 	0.295 	0.382  	6.754
   100.0 	    80.0 	0.319 	0.496  	6.755
   125.0 	    80.0 	0.331 	0.586  	6.756
   150.0 	    80.0 	0.351 	0.652  	6.758
   175.0 	    80.0 	0.376 	0.715  	6.759
   200.0 	    80.0 	0.394 	0.759  	6.761
   250.0 	    80.0 	0.437 	0.794  	6.763
   300.0 	    80.0 	0.480 	0.797  	6.766
   350.0 	    80.0 	0.511 	0.806  	6.768
   400.0 	    80.0 	0.516 	0.809  	6.772
   500.0 	    80.0 	0.543 	0.815  	6.775
   800.0 	    80.0 	0.620 	0.771  	6.781
  1000.0 	    80.0 	0.642 	0.718  	6.786
  1500.0 	    80.0 	0.675 	0.621  	6.794
  2000.0 	    80.0 	0.684 	0.543  	6.805
  3500.0 	    80.0 	0.700 	0.418  	6.822
  5000.0 	    80.0 	0.704 	0.347  	6.845
  8000.0 	    80.0 	0.697 	0.248  	6.882
 10000.0 	    80.0 	0.686 	0.214  	6.929
 15000.0 	    80.0 	0.675 	0.159  	6.996
 20000.0 	    80.0 	0.681 	0.137  	7.080
 29975.0 	    80.0 	0.686 	0.083  	7.210
     1.0 	    82.0 	0.873 	0.001  	7.210
     5.0 	    82.0 	0.733 	0.013  	7.210
    10.0 	    82.0 	0.656 	0.024  	7.210
    20.0 	    82.0 	0.554 	0.066  	7.211
    35.0 	    82.0 	0.451 	0.146  	7.211
    50.0 	    82.0 	0.387 	0.251  	7.212
    75.0 	    82.0 	0.378 	0.352  	7.213
   100.0 	    82.0 	0.379 	0.450  	7.214
   125.0 	    82.0 	0.391 	0.542  	7.215
   150.0 	    82.0 	0.404 	0.609  	7.217
